nobeli,namasup,nilaifak,jumlah,total,kodesup,satauan_brg
BL-452161,MINISARI ROTI,351000,100,35100000,MR,BUAH
BL-452162,MADUSARI RT,141000,100,14100000,MS,BUAH
BL-452163,PERMEN,200000,100,20000000,PRM,BUAH
BL-452164,FREELINE,370000,30,11100000,FREE,BUAH
BL-452165,ARTA BOGA,1330013,30,39900390,AB,BUAH
BL-452166,TRI USAHA JAYA,3930421.2,30,117912636,TUJ,BUAH
BL-452167,FREELINE,80000,30,2400000,FREE,PACK
BL-452168,JAMBU BRAND PEANUT,599750,30,17992500,JBP,PACK
BL-452169,ADY CIPTA BAROKAH,20000,30,600000,ACB,PACK
BL-452170,CAMPINA ICE CREAM,417615.3,30,12528459,CIC,PACK
BL-452171,SOLUNA,281000,30,8430000,SKAB,PACK
BL-452172,SOSRO,183500,30,5505000,SSRO,PACK
BL-452173,TEH DANDANG,189000,30,5670000,DD,PACK
BL-452174,COCA COLA,475000,30,14250000,CC,PACK
BL-452175,TJAHYONO ABADI,1594268.64,30,47828059.2,TA,PACK
BL-452176,MORODADI,3652142,30,109564260,MD,PACK
BL-452177,PT TIRTA PRIMA RASA BLORA,341670,30,10250100,BS,PACK
BL-452178,FREELINE,240000,30,7200000,FREE,PACK
BL-452179,NATHAN JAYA,1845000,30,55350000,NJY,BUAH
BL-452180,PUTRA SATRIA,8970000,30,269100000,PUSAT,BUAH
BL-452181,SUMBER BAROKAH,240000,30,7200000,SMBR,BUAH
BL-452182,JAVAS TRIPTA GEMALA,373362,78,29122236,JTG,BUAH
BL-452183,EFATA ROTI,32000,98,3136000,EFT,BUAH
BL-452184,MUSTIKA JAYA,918167.33,78,71617051.74,MTKJ,BUAH
BL-452185,YAKULT,113000,65,7345000,Y,BUAH
BL-452186,SUMBER PELITA MATARAM,302364,67,20258388,SPM,BUAH
BL-452187,CV WAHYU JAYA,177100,65,11511500,WJ,BUAH
BL-452188,PERMEN,336025,300,100807500,PRM,BUAH
BL-452189,GALAKSI,283817.76,100,28381776,GL,BUAH
BL-452190,GALAKSI,1153485.36,100,115348536,GL,BUAH
BL-452191,GALAKSI,877887.9,100,87788790,GL,BUAH
BL-452192,SEMESTA ND,172484.01,89,15351076.89,SND,BUAH
BL-452193,SEMESTA ND,264631.6,42,11114527.2,SND,BUAH
BL-452194,SEMESTA ND,89561.46,4,358245.84,SND,BUAH
BL-452195,SEMESTA ND,71999.04,24,1727976.96,SND,BUAH
BL-452196,UBA SNACK,234000,34,7956000,UBAS,BUAH
BL-452197,ANA,629000,98,61642000,ANA,BUAH
BL-452198,ULTRAJAYA,1138500,76,86526000,UJ,BUAH
BL-452199,TJAHYONO ABADI,274125.6,87,23848927.2,TA,BUAH
BL-452200,TJAHYONO ABADI,169830,56,9510480,TA,BUAH
BL-452201,TJAHYONO ABADI,219025.2,44,9637108.8,TA,BUAH
BL-452202,TJAHYONO ABADI,1049849.1,5,5249245.5,TA,BUAH
BL-452203,TJAHYONO ABADI,378609.88,35,13251345.8,TA,BUAH
BL-452204,GERABAH KHORI,923000,453,418119000,GK,BUAH
BL-452205,SINAR ABADI,868536,33,28661688,SAB,BUAH
BL-452206,BORWITA,257901,321,82786221,TTW,BUAH
BL-452207,MITRA SARI CL,38250,31,1185750,MSCL,BUAH
BL-452208,JAS HUJAN,3344250,23,76917750,JH,BUAH
BL-452209,FREELINE,121588,1,121588,FREE,BUAH
BL-452210,CV WAHYU JAYA,1150350,23,26458050,WJ,BUAH
BL-452211,AZKA,717000,231,165627000,NKMT,BUAH
BL-452212,USAHA BERKAH,676000,23,15548000,UB,BUAH
BL-452213,FREELINE,180000,21,3780000,FREE,BUAH
BL-452214,INDOMARCO,3172200,22,69788400,IDM,BUAH
BL-452215,SUKUN,1151975,23,26495425,SKN,BUAH
BL-452216,DWI JAYA,405500,23,9326500,DJ,BUAH
BL-452217,FREELINE,4280000,25,107000000,FREE,BUAH
BL-452218,KRIDHA MNP,152987.97,25,3824699.25,KMNP,BUAH
BL-452219,DJARUM,1565000,25,39125000,SCM,BUAH
BL-452220,PRAMUKA,618000,25,15450000,PRMK,BUAH
BL-452221,FREELINE,142500,25,3562500,FREE,BUAH
BL-452222,PERMEN,190000,25,4750000,PRM,BUAH
BL-452223,TIGA RAKSA SATRIA,497676,25,12441900,TG,BUAH
BL-452224,FREELINE,1513998,25,37849950,FREE,BUAH
BL-452225,SAPUTRO ABADI,206887.35,25,5172183.75,SAK,BUAH
BL-452226,PT TEMPO,158100,25,3952500,TMP,BUAH
BL-452227,PT ENSEVAL PM,1588807,25,39720175,EPM,BUAH
BL-452228,INDOMARCO,2456197,25,61404925,IDM,BUAH
BL-452229,TRI USAHA JAYA,219837.72,25,5495943,TUJ,BUAH
BL-452230,TRI USAHA JAYA,982402.73,25,24560068.25,TUJ,BUAH
BL-452231,TRI USAHA JAYA,296901.69,25,7422542.25,TUJ,BUAH
BL-452232,FREELINE,1296222,25,32405550,FREE,BUAH
BL-452233,BINTANG ARIEF,2115000,25,52875000,ALM,BUAH
BL-452234,POCARI SWEAT,539500,25,13487500,PS,BUAH
BL-452235,GAWIH JAYA,264100,25,6602500,GJ,BUAH
BL-452236,AIR MANCUR,1484000,134,198856000,AM,BUAH
BL-452237,NIKMAT,1400000,134,187600000,NMT,BUAH
BL-452238,VENUS,319000,134,42746000,VNS,BUAH
BL-452239,PT GUNUNG SUBUR,137598.93,134,18438256.62,GN,BUAH
BL-452240,SINAR BAKERI,286000,134,38324000,SNB,BUAH
BL-452241,GABREZ STIKER,40000,134,5360000,GZ,BUAH
BL-452242,FREELINE,1840000,134,246560000,FREE,BUAH
BL-452243,MICKEY SNACK,2040000,134,273360000,MCKY,BUAH
BL-452244,SURYA MADISTRINDO,1285000,134,172190000,SM,BUAH
